Data,Categoria,Tipo,Descricao,Valor
2024-02-01,Alimentação,Variável,Restaurante,349.09
2024-06-23,Saúde,Fixo,Academia,183.37
2024-06-23,Transporte,Variável,Metrô,310.84
2024-08-25,Alimentação,Variável,Restaurante,261.41
2024-03-14,Lazer,Variável,Show,283.35
2024-08-29,Transporte,Variável,Metrô,182.7
2024-05-19,Lazer,Variável,Streaming,97.8
2024-04-23,Saúde,Fixo,Farmácia,142.22
2024-09-09,Lazer,Variável,Show,82.57
2024-12-14,Saúde,Fixo,Consulta Médica,319.77
2024-05-18,Moradia,Fixo,Internet,323.84
2024-10-29,Moradia,Fixo,Condomínio,117.66
2024-02-27,Moradia,Fixo,Condomínio,247.24
2024-03-09,Saúde,Fixo,Farmácia,24.95
2024-12-12,Moradia,Fixo,Aluguel,1609.66
2024-09-29,Alimentação,Variável,Delivery,49.5
2024-01-14,Saúde,Fixo,Academia,107.45
2024-07-06,Transporte,Variável,Uber,62.84
2024-10-07,Transporte,Variável,Uber,149.0
2024-07-13,Transporte,Variável,Metrô,169.41
2024-08-27,Lazer,Variável,Jogos,341.44
2024-12-07,Transporte,Variável,Estacionamento,348.11
2024-05-20,Alimentação,Variável,Padaria,147.96
2024-02-26,Saúde,Fixo,Farmácia,74.7
2024-05-02,Lazer,Variável,Show,152.02
2024-05-15,Transporte,Variável,Gasolina,133.59
2024-12-02,Lazer,Variável,Streaming,339.42
2024-09-10,Saúde,Fixo,Consulta Médica,224.29
2024-08-15,Moradia,Fixo,Internet,153.95
2024-03-19,Alimentação,Variável,Padaria,263.16
2024-10-26,Alimentação,Variável,Delivery,314.9
2024-05-02,Saúde,Fixo,Farmácia,90.15
2024-02-18,Moradia,Fixo,Internet,165.26
2024-08-11,Transporte,Variável,Gasolina,340.93
2024-04-28,Alimentação,Variável,Delivery,89.71
2024-03-16,Transporte,Variável,Estacionamento,241.75
2024-09-16,Alimentação,Variável,Supermercado,183.73
2024-11-06,Transporte,Variável,Uber,331.77
2024-08-05,Alimentação,Variável,Supermercado,195.95
2024-09-24,Saúde,Fixo,Consulta Médica,100.13
2024-12-28,Alimentação,Variável,Padaria,94.59
2024-11-20,Moradia,Fixo,Aluguel,1911.81
2024-07-26,Saúde,Fixo,Consulta Médica,50.47
2024-09-28,Lazer,Variável,Show,301.91
2024-08-29,Moradia,Fixo,Aluguel,1718.21
2024-06-01,Saúde,Fixo,Farmácia,120.66
2024-10-08,Moradia,Fixo,Condomínio,205.18
2024-06-23,Transporte,Variável,Metrô,89.16
2024-01-06,Transporte,Variável,Gasolina,139.69
2024-06-12,Saúde,Fixo,Academia,252.02
2024-10-08,Alimentação,Variável,Supermercado,94.15
2024-02-09,Moradia,Fixo,Conta de Luz,187.32
2024-12-24,Transporte,Variável,Uber,320.99
2024-09-19,Moradia,Fixo,Conta de Luz,246.95
2024-05-10,Lazer,Variável,Show,179.27
2024-07-18,Alimentação,Variável,Supermercado,79.48
2024-02-22,Lazer,Variável,Jogos,220.37
2024-02-28,Moradia,Fixo,Internet,54.08
2024-12-22,Transporte,Variável,Uber,109.88
2024-07-09,Transporte,Variável,Estacionamento,288.24
2024-08-26,Saúde,Fixo,Consulta Médica,229.3
2024-07-30,Transporte,Variável,Gasolina,137.2
2024-04-12,Moradia,Fixo,Condomínio,110.57
2024-03-04,Moradia,Fixo,Internet,152.08
2024-12-15,Lazer,Variável,Show,29.73
2024-02-06,Alimentação,Variável,Supermercado,227.51
2024-01-26,Transporte,Variável,Metrô,172.57
2024-03-31,Saúde,Fixo,Consulta Médica,40.07
2024-09-11,Lazer,Variável,Show,292.35
2024-11-13,Transporte,Variável,Uber,99.83
2024-08-06,Alimentação,Variável,Delivery,257.85
2024-03-13,Alimentação,Variável,Padaria,323.05
2024-01-16,Saúde,Fixo,Consulta Médica,206.99
2024-02-14,Transporte,Variável,Metrô,40.58
2024-07-03,Transporte,Variável,Metrô,79.95
2024-04-23,Saúde,Fixo,Academia,95.3
2024-07-09,Transporte,Variável,Estacionamento,81.81
2024-04-23,Transporte,Variável,Gasolina,47.84
2024-05-05,Moradia,Fixo,Internet,75.19
2024-07-13,Alimentação,Variável,Padaria,134.43
2024-08-06,Saúde,Fixo,Academia,153.03
2024-04-15,Alimentação,Variável,Delivery,142.92
2024-11-25,Lazer,Variável,Jogos,103.08
2024-05-20,Lazer,Variável,Show,123.99
2024-01-12,Moradia,Fixo,Aluguel,2205.73
2024-07-31,Saúde,Fixo,Consulta Médica,218.45
2024-03-04,Transporte,Variável,Gasolina,161.28
2024-07-18,Lazer,Variável,Jogos,96.75
2024-12-05,Saúde,Fixo,Consulta Médica,228.39
2024-09-24,Alimentação,Variável,Padaria,252.15
2024-10-03,Lazer,Variável,Cinema,164.56
2024-02-04,Alimentação,Variável,Restaurante,240.73
2024-08-05,Saúde,Fixo,Farmácia,139.18
2024-01-23,Alimentação,Variável,Restaurante,335.52
2024-03-16,Moradia,Fixo,Condomínio,298.61
2024-10-18,Saúde,Fixo,Academia,194.44
2024-02-07,Moradia,Fixo,Aluguel,1881.45
2024-04-19,Saúde,Fixo,Farmácia,31.24
2024-03-30,Alimentação,Variável,Delivery,150.2
2024-01-06,Lazer,Variável,Streaming,103.14
2024-12-04,Saúde,Fixo,Academia,183.68
2024-03-13,Alimentação,Variável,Delivery,217.13
2024-08-10,Alimentação,Variável,Delivery,116.48
2024-01-20,Lazer,Variável,Show,69.25
2024-12-06,Moradia,Fixo,Aluguel,2051.84
2024-10-30,Transporte,Variável,Uber,79.46
2024-10-14,Transporte,Variável,Estacionamento,50.43
2024-02-14,Saúde,Fixo,Farmácia,324.7
2024-04-24,Lazer,Variável,Show,167.61
2024-05-20,Alimentação,Variável,Supermercado,141.63
2024-08-08,Alimentação,Variável,Restaurante,170.38
2024-04-02,Lazer,Variável,Jogos,179.47
2024-02-06,Moradia,Fixo,Conta de Luz,132.64
2024-04-21,Lazer,Variável,Show,216.94
2024-04-01,Transporte,Variável,Gasolina,92.71
2024-12-13,Saúde,Fixo,Farmácia,347.98
2024-06-01,Saúde,Fixo,Consulta Médica,43.86
2024-12-14,Transporte,Variável,Gasolina,25.68
2024-02-04,Alimentação,Variável,Delivery,80.84
2024-10-10,Transporte,Variável,Uber,18.1
2024-08-08,Alimentação,Variável,Padaria,121.91
2024-02-15,Transporte,Variável,Uber,44.67
2024-09-24,Moradia,Fixo,Condomínio,71.82
2024-07-20,Alimentação,Variável,Delivery,197.74
2024-10-30,Transporte,Variável,Estacionamento,221.62
2024-12-27,Lazer,Variável,Streaming,128.49
2024-02-11,Transporte,Variável,Metrô,159.61
2024-05-01,Alimentação,Variável,Padaria,185.6
2024-12-24,Lazer,Variável,Streaming,76.74
2024-02-10,Transporte,Variável,Gasolina,224.85
2024-09-15,Lazer,Variável,Streaming,327.6
2024-10-06,Lazer,Variável,Show,300.52
2024-03-06,Lazer,Variável,Show,309.84
2024-12-15,Alimentação,Variável,Delivery,145.35
2024-09-30,Transporte,Variável,Metrô,247.69
2024-02-17,Transporte,Variável,Metrô,301.35
2024-12-31,Saúde,Fixo,Academia,166.97
2024-02-09,Lazer,Variável,Streaming,73.45
2024-07-29,Alimentação,Variável,Supermercado,268.79
2024-06-18,Lazer,Variável,Show,26.2
2024-12-14,Lazer,Variável,Show,187.64
2024-05-06,Moradia,Fixo,Aluguel,2065.01
2024-08-09,Saúde,Fixo,Academia,312.12
2024-07-18,Alimentação,Variável,Delivery,90.79
2024-03-06,Lazer,Variável,Streaming,53.16
2024-09-23,Transporte,Variável,Uber,82.68
2024-12-31,Moradia,Fixo,Condomínio,165.24
2024-03-07,Moradia,Fixo,Aluguel,1523.2
2024-07-09,Transporte,Variável,Estacionamento,69.73
2024-08-30,Transporte,Variável,Metrô,143.06
2024-05-04,Alimentação,Variável,Supermercado,55.62
2024-12-11,Transporte,Variável,Metrô,342.8
2024-12-09,Transporte,Variável,Uber,99.58
2024-10-20,Saúde,Fixo,Consulta Médica,303.48
2024-08-19,Alimentação,Variável,Padaria,35.63
2024-02-23,Transporte,Variável,Gasolina,270.9
2024-12-21,Moradia,Fixo,Condomínio,263.43
2024-05-08,Moradia,Fixo,Internet,346.78
2024-10-08,Saúde,Fixo,Consulta Médica,281.59
2024-12-29,Lazer,Variável,Streaming,52.1
2024-09-14,Lazer,Variável,Show,348.61
2024-07-11,Alimentação,Variável,Delivery,149.34
2024-09-02,Lazer,Variável,Cinema,120.33
2024-09-20,Transporte,Variável,Estacionamento,298.43
2024-04-27,Lazer,Variável,Cinema,100.8
2024-03-13,Saúde,Fixo,Farmácia,138.05
2024-06-16,Saúde,Fixo,Consulta Médica,322.85
2024-07-14,Transporte,Variável,Estacionamento,35.98
2024-07-27,Moradia,Fixo,Internet,136.3
2024-05-24,Lazer,Variável,Cinema,116.0
2024-05-31,Lazer,Variável,Cinema,298.44
2024-03-16,Transporte,Variável,Metrô,298.57
2024-10-24,Saúde,Fixo,Academia,329.85
2024-06-19,Alimentação,Variável,Restaurante,209.96
2024-03-10,Saúde,Fixo,Academia,160.41
2024-06-13,Transporte,Variável,Gasolina,315.6
2024-05-06,Saúde,Fixo,Farmácia,218.39
2024-05-23,Alimentação,Variável,Delivery,96.44
2024-10-10,Lazer,Variável,Streaming,334.92
2024-04-24,Alimentação,Variável,Padaria,243.14
2024-03-29,Moradia,Fixo,Internet,136.4
2024-01-21,Transporte,Variável,Metrô,349.26
2024-10-19,Moradia,Fixo,Internet,292.26
2024-09-19,Transporte,Variável,Estacionamento,208.86
2024-09-28,Saúde,Fixo,Academia,180.85
2024-11-18,Moradia,Fixo,Condomínio,273.47
2024-02-05,Alimentação,Variável,Padaria,154.17
2024-12-06,Lazer,Variável,Cinema,315.43
2024-12-14,Saúde,Fixo,Consulta Médica,180.82
2024-10-11,Lazer,Variável,Jogos,226.37
2024-05-31,Lazer,Variável,Cinema,87.94
2024-07-14,Lazer,Variável,Streaming,308.33
2024-05-22,Lazer,Variável,Cinema,214.03
2024-01-06,Saúde,Fixo,Academia,135.83
2024-03-10,Alimentação,Variável,Supermercado,108.19
2024-08-27,Lazer,Variável,Streaming,34.06
2024-04-16,Lazer,Variável,Show,252.64
2024-02-25,Transporte,Variável,Gasolina,261.43
2024-08-11,Alimentação,Variável,Supermercado,268.17
2024-02-10,Lazer,Variável,Jogos,238.2
2024-01-18,Moradia,Fixo,Internet,195.63
2024-04-02,Alimentação,Variável,Restaurante,251.1
2024-12-26,Moradia,Fixo,Aluguel,1649.68
2024-09-11,Alimentação,Variável,Supermercado,91.58
2024-04-15,Moradia,Fixo,Condomínio,283.32
2024-02-28,Transporte,Variável,Estacionamento,321.15
2024-09-15,Moradia,Fixo,Conta de Luz,73.38
2024-02-16,Moradia,Fixo,Aluguel,1322.59
2024-09-25,Lazer,Variável,Streaming,231.02
2024-04-30,Lazer,Variável,Jogos,124.02
2024-10-02,Moradia,Fixo,Conta de Luz,160.67
2024-03-19,Transporte,Variável,Gasolina,245.54
2024-09-10,Lazer,Variável,Streaming,233.23
2024-03-05,Saúde,Fixo,Consulta Médica,326.61
2024-07-18,Alimentação,Variável,Padaria,102.85
2024-06-25,Alimentação,Variável,Delivery,342.43
2024-08-13,Moradia,Fixo,Condomínio,112.91
2024-02-16,Alimentação,Variável,Padaria,199.25
2024-10-25,Alimentação,Variável,Padaria,252.86
2024-12-20,Saúde,Fixo,Academia,230.82
2024-01-27,Saúde,Fixo,Academia,258.19
2024-07-22,Lazer,Variável,Show,231.67
2024-12-14,Lazer,Variável,Jogos,226.39
2024-03-12,Lazer,Variável,Jogos,220.1
2024-02-28,Alimentação,Variável,Supermercado,34.21
2024-03-20,Lazer,Variável,Jogos,41.19
2024-05-31,Alimentação,Variável,Supermercado,287.36
2024-09-05,Transporte,Variável,Uber,26.17
2024-11-08,Moradia,Fixo,Aluguel,2342.47
2024-06-24,Moradia,Fixo,Condomínio,183.42
2024-11-30,Alimentação,Variável,Restaurante,318.86
2024-07-05,Moradia,Fixo,Internet,184.43
2024-05-08,Saúde,Fixo,Consulta Médica,50.12
2024-07-19,Transporte,Variável,Gasolina,214.48
2024-04-21,Lazer,Variável,Show,155.89
2024-11-10,Alimentação,Variável,Padaria,335.86
2024-03-17,Lazer,Variável,Show,243.3
2024-04-10,Alimentação,Variável,Delivery,85.24
2024-09-21,Moradia,Fixo,Condomínio,124.79
2024-08-28,Alimentação,Variável,Padaria,137.32
2024-01-14,Alimentação,Variável,Padaria,114.18
2024-08-08,Moradia,Fixo,Aluguel,1391.99
2024-07-17,Moradia,Fixo,Condomínio,192.28
2024-06-19,Saúde,Fixo,Farmácia,216.03
2024-12-05,Moradia,Fixo,Aluguel,1227.49
2024-12-17,Lazer,Variável,Show,298.39
2024-02-05,Alimentação,Variável,Restaurante,282.88
2024-08-11,Alimentação,Variável,Restaurante,230.58
2024-03-03,Lazer,Variável,Streaming,60.97
2024-12-18,Alimentação,Variável,Padaria,183.47
2024-03-07,Transporte,Variável,Estacionamento,98.94
2024-12-24,Transporte,Variável,Gasolina,303.04
2024-09-28,Saúde,Fixo,Farmácia,289.16
2024-02-09,Alimentação,Variável,Supermercado,203.55
2024-10-19,Alimentação,Variável,Supermercado,324.83
2024-10-26,Saúde,Fixo,Farmácia,308.51
2024-10-08,Alimentação,Variável,Supermercado,35.72
2024-09-26,Moradia,Fixo,Internet,170.74
2024-12-31,Alimentação,Variável,Delivery,200.61
2024-08-11,Moradia,Fixo,Conta de Luz,169.85
2024-08-21,Alimentação,Variável,Delivery,188.17
2024-03-17,Lazer,Variável,Cinema,348.89
2024-11-23,Saúde,Fixo,Consulta Médica,166.79
2024-03-19,Transporte,Variável,Uber,214.92
2024-06-25,Moradia,Fixo,Aluguel,2421.44
2024-10-09,Transporte,Variável,Gasolina,229.59
2024-08-25,Lazer,Variável,Jogos,239.93
2024-12-26,Lazer,Variável,Cinema,122.66
2024-08-21,Lazer,Variável,Jogos,308.85
2024-01-08,Transporte,Variável,Uber,69.09
2024-03-09,Lazer,Variável,Jogos,348.05
2024-03-06,Moradia,Fixo,Conta de Luz,279.01
2024-07-18,Alimentação,Variável,Restaurante,31.01
2024-07-06,Alimentação,Variável,Delivery,99.0
2024-08-10,Saúde,Fixo,Farmácia,17.06
2024-09-20,Transporte,Variável,Uber,58.57
2024-05-20,Transporte,Variável,Gasolina,68.19
2024-01-26,Transporte,Variável,Gasolina,293.46
2024-12-16,Transporte,Variável,Gasolina,157.41
